title,author,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Lunar Chronicles,Marissa Meyer,,,,,,,,,,,X,,,,,,,,,,,,,,
Lunar Park,Bret Easton Ellis,,,,,,,,,,,,,,,,,,,,,H,,,,
Lyonesse,Jack Vance,,,,X,,,,,,,,,,,,,,,,,,,,,
Lyremouth Chronicles,Jane Fletcher,H,,,,,,,,,,,,,,,,,,,,,,,,
Machine,Elizabeth Bear,,,,,H,,,,,,,,,,,,,,,,,,,,
Machinehood,S.B. Divya,,,,,,H,,,,,,,,,,,,,,,,,,,
Machineries of Empire,Yoon Ha Lee,X,,,,,,,,,,,,,,,,,,,,,,,,
Mage Errant,John Bierce,,,,,,,,,X,,,,,,,,,,H,,,,,,
Magic Ex Libris,Jim C Hines,H,,,,,,,,,,,,,,,,,,,,,,,,
Magic for Liars,Sarah Gailey,H,,,,,H,,,,,,,,X,,,,,,,,,,H,X
Magic Lessons,Alice Hoffman,,,,,,,,,,,,,,,,,,,,,H,,,,
Magic's Pawn,Mercedes Lackey,,,,,,,,,,,,,,,,,,,,,H,,,,
Major Gentl and the Achimota Wars,B Kojo Laing,,,,,,,,,,,,,,,H,,,,,,,,,,
Malediction,Lisa Morton,,,,,,,,,,,,,,,,,,,,,H,,,,
Malice,Heather Walters,,,,,,,X,,,,,,,,,,,,,,,,,,
Malorie,Josh Malerman,,,,,,,,,,,,,,,,,,,,,H,,,,
Mapping the Interior,Stephen Graham Jones,,,,,,,,,,,,,,,,,,,,,H,H,,,
Maresi: The Red Abbey Chronicles,Maria Turtschaninoff,,,,,,,,,,,,,,,,,,,,,H,,,,
Marion Lane and the Midnight Murder,T.A. Willberg,,,,,,,,,,,H,,,,,,,,,,,,,,
Market of Monsters,Rebecca Schaffer,,,,,,,H,,,,,,,,,,,,,,,,,,
Markswoman,Rati Mehrotra,,,,,,,,X,,,,,,,,,,,,,,,,,
Martin Chalk and the Case of the Underworld King,Bruno Stella,,,,,,,,,,,,,,,,,,,,H,,,,,
Mask of Shadows,Mask of Shadows,H,,,,,,,,,,,,,,,,,,,,,,,,
Masks and Shadows,Stephanie Burgis,,,,H,,,,,,,,,,,,,,,,,,,,,
Master of Poisons,Andrea Hairston,,H,,,,,,,,,,,,,,,,,,,,,,,
Masters of Deception,J. C. Kang,,,,,,,,X,,,,,,,,,,,,,,,,,
Matriarch,Karen Traviss,,,,,,,,,,,,,,,,,,,,,H,,,,
Matter,Iain M. Banks,,,,,,,,,,,,,,,,,,,,,,,,X,
Maul,Tricia Sullivan,,,,,,,,,,,,,,,,,,,,,H,,,,
Meet Me In Another Life,Catriona Silvey,,,,,,,,,,,,,,,,,H,,,,,,,H,
Meet Me in the Future,Kameron Hurley,,,,,,,,,,,,,,,,,,,,,H,,,,
Mega,B.L. Holmes,,,,,,,,,,,,,,,,,,,,,H,,,,
Memoirs of a Polar Bear,Yoko Tawada,,,,,,,,,,,,,,,,,,,,,,X,,,
Memories and Visions,Susanna J. Sturgis,,,,,,,,,,,,,,,,,,,,,H,,,,
Memory of Water,Emmi Itäranta,,,,,,,,,,,,,,,,,,,,,H,,,,
"Memory, Sorrow, Thorn",Tad Williams,,,,,,,,,H,,,,,,,,,,,,,,,,
Merchanter's Luck,C.J. Cherryh,,,,,X,,,,,,,,,,,,,,,,,,,X,
Mercy Thompson,Patricia Briggs,,,,,,,,,X,,,,,X,,,,,,,,,X,,
Merlin's Booke,Jane Yolen,,,,,,,,,,,,,,,,,,,,,H,,,,
Merlin’s Rising,H. Warner Munn,,,,,,,,,,,,,,,,,,,,,H,,,,
Merrick,Anne Rice,,,,,,,,,,,,,,,,,,,,,H,,,,
Metahuman Files,Hailey Turner,H,,,,,,,,,,,,,,,,,,,,,,,,
Metal Angel,Nancy Springer,,,,,,,,,,,,,,,,,,,,,H,,,,
Metal Bones,Kathleen Contine,,,,,,,,,,,,,,,,,,,,H,,,,,
Metallic Love,Tanith Lee,,,,,,,,,,,,,,,,,,,,,H,,,,
Metamorphosis,Franz Kafka,,,,,,,,,,,,,,,,,,,,,,,H,,
Mexican Gothic,Silvia Moreno-Garcia,,,,H,,H,,,,,,,,,,,,,,,,,,,H
Mid-Lich Crisis,Steve Thomas,,,,,,,,X,,,,,,,,,,,,,,,,,
Middlegame,Seanan McGuire,,,,,,X,,,,,,,,,,,,,,,,,,,
Midnight,Dean Koontz,,,,,,,,,,,,,,,,,,,,,H,,,,
Midnight at the Blackbird Cafe,Heather Webber,,,,,,,,,,,,,,,,,,,,,,,,,H
Midnight Children,Salman Rushdie,,,,,,,,,,,,,,,,,,,,,,,,,X
Midnight for Charlie Bone,Jenny Nimmo,,,,,,,,,,,H,,,,,,,,,,,,,,
Mighty Good Road,Melissa Scott,,,,,,,,,,,,,,,,,,,,,H,,,,
Mindscape,Andrea Hairston,,,,,,,,,,,,,,,,,,,,,H,,,,
Minimum Wage Magic,Rachel Aaron,,,,,,,,,,,,,,,,,,,,,,,,H,
Minotaur,J.A. Rock,,,,,,,,,,,,,,,,,,,,,H,,,,
Mirage,Perry Brass,,,,,,,,,,,,,,,,,,,,,H,,,,
Miranda and Caliban,Jacqueline Carey,,,,,,,,,,,X,,,,,,,,,,,,,,
Miranda In Milan,Katharine Duckett,H,,,,,,,,,,X,,,,,,,,,,,,,,
Misery,Stephen King,,,,,,,,,,,,,,,,,,,,,H,,,,
Misfortune,Wesley Stace,,,,,,,,,,,,,,,,,,,,,H,,,,
Miss Percy's Pocket Guide to the Care and Feeding of British Dragons,Quenby Olson,,,,,,,,,,,X,,,,,,,,,,,,,,
Miss Peregrine's Home for Peculiar Children,Ransom Riggs,,,,,,,,,,,,,,,,,H,,,,,,,,
Mistborn,Brandon Sanderson,,H,,,,,,,,H,,,,,,,,,,,,,,X,
Mongrels,Stephen Graham Jones,,,,,,,,X,,,,,,,,,,,,,H,H,,,
Monsters in the Closet,Harry M. Benshoff,,,,,,,,,,,,,,,,,,,,,H,,,,
Monstress,Marjorie Liu,,,,,,,,X,,,,,,,,,,,,,,X,,,
Moon of the Crusted Snow,Waubgeshig Rice,,,,,,,,,,,,,,,,,,,,,,H,,,
"Moon Witch, Spider King",Marlon James,,,,,,,,,,,,,,,,,,,,,,X,,H,
Mooncakes,"Suzanne Walker, Wendy Xu",,,,,,,,,,,,,,,,,,,,,,X,,,
Moonheart,Charles de Lint,,,,,,,,,,,,,,,,,,,,,H,,,,
Moonwise,Greer Gilman,,,,,,,,,,,,,,,,,,,,,H,,,,
Mordew,Alex Pheby,,H,,,,,,,,,,,,,,,,,,,,,,,
Mordred,Douglas Clegg,,,,,,,,,,,,,,,,,,,,,H,,,,
More Than This,Patrick Ness,,,,,,,,,,,,,,,,,,,,,H,,,,
Morgaine Saga,C.J. Cherryh,,,,,,,,,H,,,,,,,,,,,,,,,,
Mort,Terry Pratchett,,,,,,,,,,,X,,,,,,,,,,,,,,
Mortal Love,Elizabeth Hand,,,,,,,,,,,,,,,,,,,,,H,,,,
Mother of Learning,Nobody103,,,,,,,,,,,,,,,,,X,,,,,,,,
Mother Pig,Travis M. Riddle,,,,,,,,,,,,,,,,,,,,H,,,H,X,
Mrityunjay,Shivaji Sawant,,,,H,,,,,,,,,,,,,,,,,,,,,
Mrs Pettigrew Sees a Ghost,Katherine Hayton,,,,,,,,,,,X,,,,,,,,,X,,,,,
Mrs. Claus: Not the Fairy Tale They Say,Rhonda Parrish,,,,,,,,,,,,,,,,,,H,,,,,,,
Mrs. Frisby and the Rats of NIMH,Robert C. O'Brien,,,,,,,,,,,,,,,,X,,,,,,,,,
Muck,Dror Burstein,,,,H,,,,,,,,,,,,,,,,,,,,,
Mundane World,Judy Grahn,,,,,,,,,,,,,,,,,,,,,H,,,,
My Contrary Mary,"Cynthia Hand, Brodi Ashton, Jodi Meadows",,,H,X,,,,,,,,,,,,,,,,,,,H,,
My Lady Jane,"Cynthia Hand, Brodi Ashton, Jodi Meadows",,,,,,,,,,,X,,,,,,,,,,,,,X,
My Real Children,Jo Walton,H,,,,,,,,,,,,,,,,,,,,,,,,
My Soul to Keep,Tananarive Due,,,,,,,,X,,,,,,,,,,,,,H,,,,
Nadya,Pat Murphy,,,,,,,,,,,,,,,,,,,,,H,,,,
Naked City,Ellen Datlow,,,,,,,,,,,,,,,,,,H,,,,,,,
Nantucket series,SM Stirling,H,,,,,,,,,,,,,,,,,,,,,,,,
Needful Things,Stephen King,,,,,,,,,,,,,,,,,,,,,H,,,,
Nemisis,April Daniels,H,,,,,,,,,,,,,,,,,,,,,,,,
Network Effect,Martha Wells,,,,,H,,,,,,,,,,,,,,,,,,,,
Never Have I Ever,Isabel Yap,,,,,,,,,,,,,,,,,,,,,,,,H,
Never Let Me Go,Kazuo Ishiguro,,,,,,X,,,,,,,,,,,,,,,,,,H,
Nevernight,Jay Kristoff,,,,,,,,,,,,,,,,,,,,,H,,,,
Neverwhere,Neil Gaiman,,,,,,X,,,,,,,,X,,,,,,,,,,,
New Sky Station,Krista D. Ball,,,,,,,,,,,,,,,,,,H,,,,,,,
Newford,Charles de Lint,,,,,,,,,,,,,,X,,,,,,,,,,X,
Nice Dragons Finish Last,Rachel Aaron,,,,,,,,X,X,,,,,,,,,,,X,,,H,H,X
Night Shade: Gothic Tales by Women (editor w/ Judith Redding),Victoria Brownworth,,,,,,,,,,,,,,,,,,,,,H,,,,
Night Shadows: Queer Horror (editor with Greg Herren),JM Redmann,,,,,,,,,,,,,,,,,,,,,H,,,,
Night Shift Dragons,Rachel Aaron,,,,,,,,,,,,,,,,,,,,,,,,H,
Night Visitors,Owen Keehnen,,,,,,,,,,,,,,,,,,,,,H,,,,
Night Watch,Terry Pratchett,,,,,,,,,,,,,,,,,X,,,,,,,X,
Night’s Master,Tanith Lee,,,,,,,,,,,,,,,,,,,,,H,,,,
Nightrunner,Lynn Flewelling,H,,,,,,,,,,,,,,,,,,,,,,,X,
Nightwhere,John Everson,,,,,,,,,,,,,,,,,,,,,H,,,,
Nimona,N.D. Stevenson,X,,,,,H,X,,,,X,,,,,,,,,,,,H,,
Nine Princes in Amber,Roger Zelazny,,,,,,,,X,,,,,,,,,,,,,H,,,,
Ninefox Gambit,Yoon Ha Lee,,,,,H,,,X,,H,,,,,,,,,,,,X,,,
Ninth House,Leigh Bardugo,,,,,,,,,,,,,,X,,,,,,,,,,,
"No Gods, No Monsters",Cadwell Turnbull,,,,,,,,,,,,,,H,,,,,,,,,X,H,
No Man of Woman Born,Ana Mardoll,H,,,,,,,,,,,,,,,,,,,,,,,,
No Man's Land,A.J. Fitzwater,,,,H,,,,,,,,,,,,,,,,,,,,H,
No Sister of Mine,Jeanne Gӆellers,,,,,,,,,,,,,,,,,,,,,H,,,,
Nobody True,James Herbert,,,,,,,,,,,,,,,,,,,,,H,,,,
Nocturna,Maya Montayne,,,,,,,H,,,,,,,,,,,,,,,,,,
Nona the Ninth,Tamsyn Muir,,,,,,,,,,,,,X,,,,,,,,,,,,
North Wind,Gwyneth Jones,,,,,,,,,,,,,,,,,,,,,H,,,,
Norylska Groans,Michael R. Fletcher & Clayton W. Snyder,,,X,,,,,,,,,,,,,,,,,,,,,,
NOS4A2,Joe Hill,,,,,,X,,X,,,,,,,,,,,,,H,,,,
Not Fade Away,Gene O'Neill,,,,,,,,,,,,,,,,,,,,,H,,,,
Not Your Sidekick,CB Lee,H,,,,,,,,,,,,,,,,,,,,,,,H,
Notes from the Burning Age,Claire North,,H,,,,,,,,X,,,,,,,,,,,,,,,
Nova Swing,M. John Harrison,,,,,,,,,,,,,,,,,,,,,H,,,X,
November Mourns,Tom Piccirilli,,,,,,,,,,,,,,,,,,,,,H,,,,
Nyarai: Traveler of the Circle,Noor Al-Shanti,,,,,,,,,,,,,,,,,,,,X,,,,,
Oathblood,Mercedes Lackey,,,,,,,,,H,,,,,,,,,,,,,,,,
Oathbound,Mercedes Lackey,,,,,,,,,H,,,,,,,,,,,,,,,,
Oathbreaker,Mercedes Lackey,,,,,,,,,H,,,,,,,,,,,,,,,,
Oathbringer,Brandon Sanderson,,,,,,,,,,,,,,,,,,,,,H,,,X,
Obedience,Joseph Hansen,,,,,,,,,,,,,,,,,,,,,H,,,,
Obsidion Trilogy,Mercedes Lackey and James Mallory,,,X,,,,,,,,,,,,,,,,,,,,,,
October Daye,Seanan McGuire,,,,,,,,,,,,,,X,,,,,,,,,,,
Od Magic,Patricia A. McKillip,,,,,,X,,X,,,,,,,,,,,,,H,,,,
Odd Thomas,Dean Koontz,,,,,,,,,,,H,,,,,,,,,,,,,,
Of Dragons and Men,Guy Donovan,,,,,,,,,,,,,,,,X,,,,,,,,,
Of Fire and Blood,Ryan Cahill,,,,,,,,,,H,,,,,,,,,,,,,,,
Of Fire and Stars,Audrey Coulthurst,H,,,,,,,,,,,,,,,,,,,,,,,,
Of Honey and Wildfires,Sarah Chorn,H,,,,,,,,,,,,,,,,,,,,,,,,
Ogres,Adrian Tchaikovsky,,,,,,,,,,H,,,,,,,,,,,,,,,
Old Man's War,John Scalzi,,,,,,,,,,,,,,,,,,,,,,,,H,
On Fragile Waves,Lily E. Yu,,,,,,,,,,,,,,,,,,,,,,,,H,
On Lavender Tides,Travis M. Riddle,,,,,,,,,,,,X,X,,,,,,,H,,,,H,
On Stranger Tides,Tim Powers,,,,,,,,,,,,,,,,,,,,,H,,,H,
On the Edge of Gone,Corinne Duyvis,,,,,,,,,,,,,,,,,,,,,,,,,X
One Arm Shorter than the Other,Gigi Ganguly,,,,,,,,,,,,,,,,,X,,,,,,,,
One Day All This Will Be Yours,Adrian Tchaikovsky,,,,,,,,,,,,,,,,,X,,,,,,,,
One for the Morning Glory,John Barnes,,,,,,,,,,,,,,,,,,,,,H,,,,
One Last Stop,Casey McQuiston,,,,,,,,X,,,,,,,,,X,,,,,,,H,
One Man: A City of Fallen Gods Novel,Harry Connolly,,,,,,H,,,,,,,,,,,,,,,,,,,
One of Us,Michael Marshall Smith,,,,,,,,,,,,,,,,,,,,,H,,,,
Only Forward,Michael Marshall Smith,,,,,,,,,,,,,,,,,H,,,,,,,,
Only Trolls Double Down,Ramy Vance,,,,,,,,,,,,,,,,,,,,,,,,H,
Ophie’s Ghosts,Justina Ireland,,,,,,,,,,,,,,,,,,,,,,X,,,
Or What You Will,Jo Walton,,,,,,,,,,,,,,,,X,,,,,,,,,
Orbital Resonance,John Barnes,,,,,,,,,,,,,,,,,,,,,H,,,,
Orconomics,J. Zachary Pike,,,,,,,,,,,,X,,,,X,,,,X,,,,,
Orlando,Virginia Woolf,,,,,,H,,,,,,,,,,,,,,,,,,,
Oryx and Cake,Margaret Atwood,,,,,,,,,,,X,,,,,,,,,,,,,,
Our Violent Ends,Chloe Gong,,,,,,,,,,,,,,,,,,,,,,,,H,
Out of the Silent Planet,C.S. Lewis,,,,,X,,,,,,,,,,,,,,,,,,,,
Outlander,Diana Gabaldon,,,,X,,,,,,,,,,,,,X,,,,,,,,
Outside the Dog Museum,Jonathan Carroll,,,,,,,,,,,,,,,,,,,,,H,,,,
"Over Sea, Under Stone",Susan Cooper,,,,,,,,,,,,,,,,,,,,,,,,H,
Pact,Wildbow,,,,,,,,,,,,,,X,,,,,,,,,,,
Paladin of Souls,Lois McMaster Bujold,,,,,,,,,,,,,,,,,,,H,,,,,,
Paladin's Grace,T. Kingfisher,,,,,,,,X,,,,,,,,,,,H,,,,,,
Paladin's Strength,T. Kingfisher,,,,,,,,,,,,,,,,,,,,,,,H,,
Pale,Wildbow,,,,,,,,,,,,,,H,,,,,,,,,,,H
Palimpsest,Catherynne M. Valente,H,,,,,H,,,,,,,,,,,,,,,,,,,
Pandemonium,Daryl Gregory,,,,,,,,,,,,,,,,,,,,,H,,,,
Pandora's Star,Peter F. Hamilton,,,,,,,,,,,,,,,,,,,,,,,,X,
Paolo Santiago,Tehlor Kay Mejia,,,,,,,,,,,H,,,,,,,,,,,,,,
Parable of the Sower,Octavia E. Butler,,,,,,,,X,,,,,,,,,,,H,,,X,,,
Paradise Tales: and Other Stories,Geoff Ryman,,,,,,,,,,,,,,,,,,,,,H,,,,
Parasol Protectorate,Gail Carriger,H,,,,,,,,,,,,,,,,,,,,,,,,
Partnership,Margaret Ball and Anne McCaffrey,,,X,,,,,,,,,,,,,,,,,,,,,,
Parva,SL Bhyrappa,,,,H,,,,,,,,,,,,,,,,,,,,,
Passing Strange,Ellen Klages,H,,,H,,,,,,,,,,,,,,,,,H,,,,
Paternus,Dyrk Ashton,,,,,,,,X,,,,,,,,,,,,,,,,,
Patient Zero,Jonathan Maberry,,,,,,,,,,,,,,,,,,,,,H,,,,
"Peasprout Chen, Future Legend of Skate and Sword",Henry Lien,,,,,,,,,,,H,,,,,,,,,,,,,,
Pemmican Wars,Katherena Vermette,,,,,,,,,,,,,,,,,,,,,,H,,,
Penny for Your Soul,K. A. Ashcomb,H,,,,,,,X,,,,,,,,,,,,,,,,,
Percy Jackson,Rick Riordan,,,,,,,,,X,,,,,,,,,,,,,,,,
Perdido Street Station,China Miéville,,,,,,X,,,,,,,,,,,,,,,,,,H,
Pet,Akwaeke Emezi,,,,,,H,,,,,X,,,,,,,,H,,H,X,,,X
Pet Sematary,Stephen King,,,,,,,,,,,,,,,,,,,,,H,,,,
Petaybee,Anne McCaffrey and Ann Scarbarough,,H,,,,,,,,,,,,,,,,,,,,,,,
Peter and the Starcatchers,Dave Barry and Ridley Pearson,,,X,,,,,,,,X,,,,,,,,,,,,,,
Peter Darling,Austin Chant,H,,,,,,,X,,,H,,,,,,,,,,,,,,
Petty Treasons,Victoria Goddard,,,,,,,,,,,,,,,,,,,,,,,,X,
Phantom,Thomas Tessier,,,,,,,,,,,,,,,,,,,,,H,,,,
Phantom Pains,Mishell Baker,,,,,,,,,,,,,,,,,,,,,H,,,,
Phoenix Extravagant,Yoon Ha Lee,,,,,,H,,,,H,,,,,,,,,,,,X,,X,
Photographing Fairies,Steve Szilagyi,,,,,,,,,,,,,,,,,,,,,H,,,,
Piranesi,Susanna Clarke,,,,,,H,,,,,X,,,,,,,,,,,,,,
Planetfall,Emma Newman,H,H,,,,,,,,,,,,,,,,,H,,,,,,
Playing God,Sarah Zettel,,,,,,,,,,,,,,,,,,,,,H,,,,
Point Pleasant,Jen Archer Wood,,,,,,,,,,,,,,H,,,,,,,,,,,
Polaris Rising,Jessie Mihalik,,,,,,,,X,,,,,,,,,,,,,,,,,
Port Lewis Witches,Brooklyn Ray,H,,,,,,,,,,,,,,,,,,,,,,,X,
Powder Mage,Brian McClellan,,,,,,,,,,H,,,,,,,,,,,,,,X,
Prayer for the Storm: A Fantasy Novella,Adrian Kaas,,,,,,,,,,,,,,,,,,,,H,,,,,
Pressure,Bracken MacLeod,,,,,,,,,,,,,,,,,,,,,H,,,,
Pride and Prejudice and Zombies (w/ Jane Austen),Seth Grahame-Smith,,,,,,,,,,,,,,,,,,,,,H,,,,
Priest of Bones,Peter McLean,,,,,,,,,,,,,,,,,,,,,,,,,X
Priest of Crowns,Peter McLean,,,,,,,,,,,,,,,,,,,H,,,,,,
Prince of Annwn,Evangeline Walton,,,,,,,,,,,,,,,,,,,,,H,,,,
Prince of Fools,Mark Lawrence,,,,,,,,,,,,,,,,,,,,,H,,,,
Prince of Thorns,Mark Lawrence,,,,,,,X,X,,,,,,,,,,,,,,,,,
Prince's Game,MCA Hogarth,H,,,,,,,,,,,,,,,,,,,,,,,,
Princess Floralinda and the Forty-Flight Tower,Tamsyn Muir,,,,,,,,,,,X,,,,,,,,,,,,,,
Princess Holy Aura,Ryk E Spoor,H,,,,,,,,,,,,,,,,,,,,,,H,,
Princess of Dorsa,Eliza Andrews,,,,,,,,,,H,,,,,,,,,,,,,,,
Princess Princess Ever After,Katie O'Neill,H,,,,,,,,,,,,,,,,,,,,,,,,
Priorities,Lynda Lyons,,,,,,,,,,,,,,,,,,,,,H,,,X,
Prodigal Blues,Gary A. Braunbeck,,,,,,,,,,,,,,,,,,,,,H,,,,
Prodigy,Jan Clark,,,,,X,,,,,,,,,,,,,,,,,,,,
Project Hail Mary,Andy Weir,,,,,X,,,,,,,,,,,,,,,,,,,H,
Promise of Blood,Brian McClellan,,,,,,,,X,,X,,,,,,,,,,,,,,,
Promptly Written vol 1,Ian Lewis,,,,,,,,,,,,,,,,,,H,,,,,,,
Promptly Written vol 2,Ian Lewis,,,,,,,,,,,,,,,,,,H,,,,,,,
Promptly Written vol 3,Ian Lewis,,,,,,,,,,,,,,,,,,H,,,,,,,
Prosper's Demon,Tom Holt,,,,,,,,,,,X,,,,,,,,,,,,,,
PsyCop,Jordan Castillo Price,H,,,,,,,,,,,,,,,,,,,,,,,,
Pumpkin Teeth,Tom Cardamone,,,,,,,,,,,,,,,,,,,,,H,,,,
Pushing Ice,Alastair Reynolds,,,,,X,,,,,,,,,,,,,,,,,,,,
Quarantined,Joe McKinney,,,,,,,,,,,,,,,,,,,,,H,,,,
Queen of Sorcery,David Eddings,,,,,,,,,,,,,,,,,,,,,H,,,,
Queen of the Conquered,Kacen Callender,,,,,,,,X,,,,,,,,,,,,,,,,,
Queens of the Wyrd,Timandra Whitecastle,,,,,,,,,H,,,,,,,,,,,,,,,,X
Race the Sands,Sarah Beth Durst,,,,,,H,,,,,,,,,,,,,,,,,,,
Radiance,Catherynne M. Valente,,,,,,,,,,,,,,,,,,,,,H,,,,
Radio Free Albemuth,Philip K. Dick,,,,,,,,,,,,,,,,,,,,,,,,H,
Railsea,China Mieville,,,,,,H,,,,,,,,,,,,,,,,,,,
Range of Ghosts,Elizabeth Bear,,,,,,,,,,,,,,,,,,,,,H,,,,
Raven Strategem,Yoon Ha Lee,,,,,,,,,,H,,,,,,,,,,,,,,,
RavenShadow,Win Blevins,,,,,,,,,,,,,,,,,,,,,H,,,,
Raybearer,Jordan Ifueko,,,,,,,,,,,,,,,H,,,,,,H,,,,
"Re: Colonised Planet 5, Shikasta",Doris Lessing,,,,,,,,X,,,,,,,,,,,,,,,,,
Ready Player One,Ernest Cline,,,,,,X,,,,,,,,,,,,,,,,,,,
Realm of the Elderlings,Robin Hobb,H,,,,,,,,,,,,,,,,,,H,,,,,,
Rebuilding Tomorrow,Tsana Dolichva,,,,,,,,,,,,,,,,,,H,,,,,,,
Record of a Night Too Brief,Hiromi Kawakami,,,,,,,,,,,,,,,,,,,,,,X,,,
Record of a Spaceborn Few,Becky Chambers,,,,,H,,,,,,,,,,,,,,,,,,,,
Recursion,Blake Crouch,,,,,,,,,,,,,,,,,X,,,,,,,,
Red Country,Joe Abercrombie,,,,,,X,,,,,,,,,,,,,,,H,,,,
Red Doc,Anne Carson,,,,,,,,,,,,,,,,,,,,,H,,,,
Red Dust,Yoss,,,,,H,,,,,,,,,,,,,,,,,,,,
Red Earth and Pouring Rain,Vikram Chandra,,,,,,,,,,,,,,,,,,,,,H,,,,
Red Mars,Kim Stanley Robinson,,,,,,,,,,H,,,,,,,,,,,,,,X,
Red Rising,Pierce Brown,,,,,,,,X,,H,,,,,,,,,,,,,,,
Red Seas Under Red Skies,Scott Lynch,,,,,,,,,,,,,,,,,,,,,,,,H,
Red Sister,Mark Lawrence,,,,,,,,,,,,,,,,,,,,,H,,,,
Red Threads of Fortune,Neon Yang,,,,,,,,,,,,,,,,,,,,,H,,,,
Redemption in Indigo,Karen Lord,,,,,,,,,,,,,,,H,,,,,,,,,H,
Redshirts,John Scalzi,,,,,,X,,,,,,,,,,,,,,,,,,,
Redwall,Brian Jacques,,,,,,,,,,,,,,,,H,,,,,,,,X,
Reign,Chet Williamson,,,,,,,,,,,,,,,,,,,,,H,,,,
Relentless,Karen Lynch,,,,,,,,,,,,,,X,,,,,,,,,,,
Remains,Mark W. Tiedemann,,,,,,,,,,,,,,,,,,,,,H,,,,
Remnant Population,Elizabeth Moon,,H,,,,,,,,,,,,,,,,,,,,,,,
Remote Control,Nnedi Okorafor,,,,,,,,,,,,,,,H,,,,,,,,,,
Rendezvous with Rama,Arthur C. Clarke,,,,,X,,,,,,,,,,,,,,,,,,,H,
Renegades,Marissa Meyer,,,,,,,H,,,,,,,X,,,,,,,,,,,
Replay,Ken Grimwood,,,,,,X,,,,,,,,,,,,,,,,,,,
Requiem,Graham Joyce,,,,,,,,,,,,,,,,,,,,,H,,,,
Resilience,Fletcher DeLancey,,,,,,,,,,,,,,,,,,,,,H,,,,
Return of the Whalefleet,Benedict Patrick,,H,,,,,,,,,,,,,,,,,,,,,,,
Return to Isis,Jean Stewart,,,,,,,,,,,,,,,,,,,,,H,,,,
Rex Electi,W.P. Kimball,,,,,,,,,,,,,,,,,,,,,,,,X,
Riding the Trail of Tears,Blake M. Hausman,,,,,,,,,,,,,,,,,,,,,,H,,,
Rifter,Ginn Hale,H,,,,,,,,,,,,,,,,,,,,,,,,
Rimrunners,C.J. Cherryh,,,,,X,,,,,,,,,,,,,,,,,,,X,
Ring of Swords,Eleanor Arnason,,,,,,,,,,,,,,,,,,,,,H,,,,
Ringshout,P. Djèlí Clark,,,,,,,,,X,,,,,,,,,,,,,,,,
Rise of Endymion,Dan Simmons,,,,,,,,,,,X,,,,,,,,,,,,,,
Rituals,Roz Kaveney,,,,,,,,,,,,,,,,,,,,,H,,,,
River of Teeth,Sarah Gailey,H,,,,,,,,,,,,,,,,,,,,,,,,
Rivers of London,Ben Aaronovitch,,,,,,,,,,,,,,X,,,,,,,,,,,
Riverside,Ellen Kushner,H,,,,,,,,,,,,,,,,,,,,,,,,
Riyaria Chronicles,Michael J. Sullivan,,,,,,,X,,,,,,,,,,,,,,,,,,
Roadmarks,Roger Zelazny,,,,,,,,,,,,,,,,,X,,,,,,,,
Roadsouls,Betsy James,,,,,,,,,,,,,,,,,,,,,H,,,,
Robopocalypse,Daniel H. Wilson,,,,,,,,,,,,,,,,,,,,,,H,,,
Rogue Ship,Isabel Pelech,H,,,,,,,,,,,,,,,,,,,,,,,,
Rogues of the Republic,Patrick Weekes,,,,,,,,,H,,,,,,,,,,,,,,,,
Rosewater,Tade Thompson,,,,,,,X,X,,,,,,,H,,,,,,H,,,,
Rot & Ruin,Jonathan Maberry,,,,,,,,,,,,,,,,,,,,,H,,,,
Rowan Hood: Outlaw Girl of Sherwood Forest,Nancy Springer,,,,,,,,,,,H,,,,,,,,,,,,,,
Ruby Red,Kerstin Geir,,,,,,,,,,,,,,X,,,,,,,,,,,H
Ruin,John Gwynne,,,,,,,,,,,,,,,,,,,,,H,,,,
Ruin of Kings,Jenn Lyons,,,,,,,,,,,,,,,,,H,,,,,,,,
Ruination: A League of Legends Novel,Anthony Reynolds,,,,,,,,,,,,,X,,,,,,,,,,,,
Ruled Brittania,Harry Turtledove,,,,X,,,,,,,,,,,,,,,,,,,,,
Running Fiercely Toward a High Thin Sound,Judith Katz,,,,,,,,,,,,,,,,,,,,,H,,,,
Rupetta,Nike Sulway,H,,,,,,,,,,,,,,,,,,,,,,,,
Sabriel,Garth Nix,,,,,,,,,,,X,,,,,,,,,,,,,,
Sacrati,Kate Sherwood,,,,,,,,,,,,,,,,,,,,,H,,,,
Sacrifice of Fools,Ian McDonald,,,,,,,,,,,,,,,,,,,,,H,,,,
Saga,Brian K. Vaughn,,,,,,,,,,,,,,,,,,,,,,,,X,H
Sal and Gabi Break The Universe,Carlos Hernandez,,,,,,,,,,,X,,,,,,,,,,,,,,
Salem's Lot,Stephen King,,,,,,,,X,,,,,,,,,,,,,H,,,,
Salt Fish Girl,Larissa Lai,,,,,,,,,,,,,,,,,,,,,H,,,,
Sandman Slim,Richard Kadrey,,,,,,,,,,,,,,X,,,,,,,,,,,
Sandry's Book,Tamora Pierce,,,,,,,,,,,X,,,,,,,,,,,,,,
Santa Olivia,Jacqueline Carey,H,,,,,,,,,,,,,,,,,,,,,,,,
