title,author,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Beneath Black Sails,Clare Sager,,,,,,,,,,,,,,,,,,,,X,,,,H,
Beneath the Sugar Sky,Seanan McGuire,,,,,,,,,,,,,,,,,X,,,,,,,,
Benighted,Kit Whitfield,,,,,,,,,,,,,,X,,,,,,,,,X,,
Best Served Cold,Joe Abercrombie,,,,,,X,,,,,,,,,,,,,,,H,,,H,
Between the Shade and the Shadow,Coleman Alexander,,,,,,,,,,,,,,,,,,,,X,,,,,
Between Two Fires,Christopher Buehlman,,H,,H,,,,,,,,,,,,,,,,,,,,H,
Beyond Binary: Genderqueer and Sexually Fluid Speculative Fiction,Lee Mandelo,,,,,,,,,,,,,,,,,,,,,H,,,,
Beyond Redemption,Michael R. Fletcher,,,,,,,,X,,,,,,,,,,,,,,,,,
Bhimsen,Prem Panicker,,,,H,,,,,,,,,,,,,,,,,,,,,
Big Mama Stories,Eleanor Arnason,,,,,,,,,,,,,,,,,,,,,H,,,,
Binti,Nnedi Okorafor,,,,,X,,,,,,X,,,,H,,,,,,,X,,,
Black Glass,Karen Joy Fowler,,,,,,,,,,,,,,,,,,,,,H,,,,
Black House (w/ Peter Straub),Stephen King,,,,,,,,,,,,,,,,,,,,,H,,,,
Black House (w/ Stephen King),Peter Straub,,,,,,,,,,,,,,,,,,,,,H,,,,
"Black Leopard, Red Wolf",Marlon James,H,,,,,,X,,,,,,,,H,,,,,,,X,H,H,
Black Mad Wheel,Josh Malerman,,,,,,,,,,,,,,,,,,,,,H,,,,
Black Sun,Rebecca Roanhorse,,,,,,,,,,X,,,,,,,,,,,,H,,,
Black Tide,Patrick Freivald,,,,,,,,,,,,,,,,,,,,,H,,,,
Black Tides of Heaven,Neon Yang,,,,,,,,,,,,,,,,,,,,,H,,,,
Black Trillium,"Marion Zimmer Bradley, Julian May, Andre Norton",,,H,,,,,,,,,,,,,,,,,,,,,,
Black Water Sister,Zen Cho,,,,,,H,,X,,,,,,,,,,,,,,X,,H,H
Black Wave,Michelle Tea,,,,,,,,,,,,,,,,,,,,,H,,,,
Black Wind,F. Paul Wilson,,,,,,,,,,,,,,,,,,,,,H,,,,
Black Wolves,Kate Elliott,,,,,,,,X,,,,,,,,,,,,,,,,,
Blackburn,Bradley Denton,,,,,,,,,,,,,,,,,,,,,H,,,,
Blackfish City,Sam J. Miller,H,,,,,H,,,,,,,,,,,,,H,,,,,,
Blackheart Knights,Laura Eve,,,,,,,,,,,,,,X,,,,,,,,,,,
Blackout,Connie Willis,,,,,,,,,,,,,,,,,X,,,,,,,,
Blackveil,Kristen Britain,,,,,,,,,,,,,,,,,,,,,H,,,,
Blackwing,Ed McDonald,,,,,,,,X,,,,,,,,,,,,,,,,,
Blades Falling Softly,Sarah Lin,,,,,,,,X,,,,,,,,,,,,,,,,,
Blanca & Roja,Anne-Marie McLemore,,,,,,,,,,,X,,,,,,,,,,,,,,
Bleeding Edge,Thomas Pynchon,,,,,,,,,,,,,,,,,,,,,H,,,,
Bleeding Violet,Dia Reeves,,,,,,,,,,,,,,,,,,,X,,,,,,
Blindsight,Peter Watts,,,,,X,X,,,,,,,,,,,,,,,,,,,
Blood Like Magic,Liselle Sambury,,,,,,,,,,,,,,,,,,,,,,,,H,
Blood of Aenarion,William King,,,,,,,,,,,,,,,,,,,,,H,,,,
Blood of Ambrose,James Enge,,,,,,,,,,,,,,,,,,,,,H,,,,
Blood Oranges,Caitlin R. Kiernen,,,,,,,X,,,,,,,,,,,,,,,,,X,
Blood Price,Tanya Huff,,,,,,,,,,,,,,X,,,,,,,,,,,
Blood Scion,Deborah Falaye,,,,,,,,,,,,,H,,,,,,,,,,,,
Blood Song,Anthony Ryan,,,,,,,,X,,,,,,,,,,,,,,,,,
Bloodchild and Other Stories,Octavia E. Butler,,,,,,,,X,,,,,,,,,,H,,,,,,,
Bloody Rose,Nicholas Eames,H,,,,,,,,H,,X,,,,,,,,,,,,,X,
Blue Moon Rising,Simon R. Green,,,,,,,,,,,,,,,,,,,,,,,,H,
Bluebird,Ciel Pierlot,,,,,H,,,,,,,,H,,,,,,,,,,,X,
Bonds of Brass,Emily Skrutskie,H,,,,,,,,,X,,,,,,,,,,,,,,,
Bone Music,Alan Rodgers,,,,,,,,,,,,,,,,,,,,,H,,,,
Book of Swords,Fred Saberhagen,,,,,,,,,H,,,,,,,,,,,,,,,,
Books of Lost Swords,Fred Saberhagen,,,,,,,,,H,,,,,,,,,,,,,,,,
Borderline,Mishell Baker,,,,,,,,,,,,,,H,,,,,H,,H,,,,
Borne,Jeff VanderMeer,,X,,,,,,,,,X,,,,,,,,,,,,H,,
Bound in Blood,David Thomas Lord,,,,,,,,,,,,,,,,,,,,,H,,,,
"Boys, Beasts & Men",Sam J. Miller,,,,,,,,,,,,,X,,,,,H,,,,,,,
Brave New World,Aldous Huxley.,,,,,,H,,,,,,,,,,,,,,,,,,,
Breeding Ground,Sarah Pinborough,,,,,,,,,,,,,,,,,,,,,H,,,,
Briar Rose,Jane Yolen,,,,,,,,,,,,,,,,,,,,,H,,,,
Briarley,Aster Glenn Gray,H,,,,,,,,,,,,,,,,,,,,,,,,
Bridge of Dreams,Chaz Brenchley,,,,,,,,,,,,,,,,,,,,,H,,,,
Brief Cases,Jim Butcher,,,,,,,,,,,,,,,,,,H,,,,,,,
Bright Falls Mysteries,CT Phipps and Michael Suttkus,,,,,,,,,,,,,,,,,,,,,,,H,,
Brimstone Angels,Erin M. Evans,,,,,,,,,,,,,,,,X,,,,,,,,,
Bringing Home the Rain,Bob McGough,,,,,,,,,,,,,,,,,,,,H,,,,,
Broken Earth,N.K. Jemisin,,,,,,,,,,,,,,,,,,,H,,,,,,
"Broken Stars, edited",Ken Liu,,,,,,,,,,,,,,,,,,,,,,X,,,
Brown Girl in the Ring,Nalo Hopkinson,,,,,,,,X,,,,,,,,,,,,,H,,,,H
Brown Harvest,Jay Russell,,,,,,,,,,,,,,,,,,,,,H,,,,
Build Your House Around My Body,Violet Kupersmith,,,,,,,,,,,,,,,,,,,,,,,,H,
Bunny,Mona Awad,,,,,,H,,,,,,,,,,,,,,,,,,,
Burning Bright,Melissa McShane,,,,X,,,,X,,,,,,,,,,,,,H,,,,
Burning Bright,Melissa Scott,,,,X,,,,X,,,,,,,,,,,,,H,,,,
Burton and Swinburne,Mark Hodder,,,,X,,,,,,,,,,,,,X,,,,,,,,
Butcher’s Road,Lee Thomas,,,,,,,,,,,,,,,,,,,,,H,,,,
By Force Alone,Lavie Tidhar,,,,,,,,,,,,,,,,,,,,,H,,,H,
By the Sword,Mercedes Lackey,,,,,,,,,H,,,,,,,,,,,,,,,,
By Winged Chair,Kendra Merritt,,,,,,,,,,,,,,,,,,,,H,,,X,H,
Cage of Souls,Adrian Tchaikovsky,,H,,,,,,,,,,,,,,,,,,,,,,,
Call Down the Hawk,Maggie Stiefvater,,,,,,,,,X,,,,,,,,,,,,,,,,
Cannon's Orb,L. Warren Douglas,,,,,,,,,,,,,,,,,,,,,H,,,,
Captive Prince,CS Pacat,H,,,,,,,,,,,,,,,,,,,,,,,,
Carmilla,Sheridan Le Fanu,H,,,,,,,,,,X,,,,,,,,,,,,,,
Carnival,Elizabeth Bear,,,,,,,,,,,,,,,,,,,,,H,,,,
Carnival Row: Tangle in the Dark,Stephanie K. Smith,,,,,,,,,,,,,,,,X,,,,,,,,,
Carry On,Rainbow Rowell,,,,,,,,,X,,,,,,,,,,,,,,,,
Catching Cinders,Kendra Merritt,,,,,,,,,,,,,,,,,,,,H,,,,,
Catfishing on CatNet,Naomi Kritzer,H,,,,,,,X,,,,,,,,,,,,,,,,H,
Cece Rios and the Desert of Souls,Kaela Rivera,,,,,,,,,,,H,,,,,,,,,,,,,,
Cemetery Boys,Aiden Thomas,,,,,,H,,X,,,,,,H,,,,,,,,,,,H
Centenal Cycle,Malka Older,H,,,,,,,,,,,,,,,,,,,,,,,,
Central Station,Lavie Tidhar,,,,,,H,,,,,,,,,,,,,,,,,,,
Centuries Ago and Very Fast,Rebecca Ore,,,,,,,,,,,,,,,,,,,,,H,,,,
Cereus Blooms at Night,Shani Mootoo,,,,,,,,,,,,,,,,,,,,,H,,,,
